level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L3 Species,Snails,82,85,85,0.9647058823529412,0.9647058823529412,0.9647058823529412
L3 Species,Sphaerophoria scripta-complex,38,41,41,0.926829268292683,0.926829268292683,0.926829268292683
L3 Species,Syritta pipiens,25,29,25,0.8620689655172413,1.0,0.9259259259259259
L3 Species,Syrphidae,5,10,13,0.5,0.38461538461538464,0.4347826086956522
L3 Species,Syrphus,14,15,16,0.9333333333333333,0.875,0.9032258064516129
L3 Species,Vegetation,279,285,286,0.9789473684210527,0.9755244755244755,0.9772329246935202
L3 Species,Vespidae,30,31,31,0.967741935483871,0.967741935483871,0.967741935483871
L3 Species,Vespula vulgaris,76,79,78,0.9620253164556962,0.9743589743589743,0.9681528662420382
L3 Species,Xanthogramma,10,10,10,1.0,1.0,1.0
L3 Species,Macro,53.425,56.4625,56.4625,0.9029979112277438,0.9080445776052921,0.9033210970768586
L3 Species,Micro,4274,4517,4517,0.9462032322337834,0.9462032322337834,0.9462032322337834
